# R4-B --movement 真实 Unity DS 权威运动验收证据
# 权威来源：真实 Unity DS（PhysX 隔离物理场景）复制下来的 _movementSnapshotV1 与 owner 可靠事件
# 客户端 AP 碰撞世界：PMMoverTestWorld（AABB 替身，WorldVersion=1）——不是 PhysX
# 输入 dt=16ms；节拍=真实 Stopwatch 墙钟；DS 预算由 DS 自己的墙钟累计

## 客户端 A（本端 uid=301，对手 uid=302）
note: ap=ok sp=ok
note: resync 1→2 旧流帧=26 对照帧=56 边界=393→449
apTicksAccepted=393 apTicksRejected=0
apResyncApplied=1 apStreamVersion=2 apUnacked=0 apSnapshotApplied=392 spInterpAuthorityAccepted=3553
apDescribe: PMR4MovementDriver role=AutonomousProxy epoch=1 instance=1 stream=2 pending=393 confirmed=393 unacked=0 journalPending=0 journalSeq=0 journalFailed=False frozen=False
apCounters: snapshotQueued=3538 snapshotApplied=392 snapshotDecodeFailed=0 snapshotRejectedIdentity=0 snapshotRejectedStreamNewer=8 snapshotRejectedWorldVersion=0 snapshotQueueDrops=0 snapshotPublished=0 snapshotStreamRebinds=0 snapshotRebindRejectedRegressing=0 snapshotRebindRejectedFrozen=0 rebindFallbacks=0 inputPayloadsSent=393 inputEntriesSent=787 unackedRetired=393 ticks=393 ticksRejected=0 placeholders=0 eventPayloadsReceived=2 eventBatchesAccepted=2 eventBatchesRejected=0 eventDecodeFailed=0 journalFailed=False journalSeqGaps=0 journalDuplicateEvents=0 journalDispatched=3 journalLateDispatches=0 journalOverflows=0 resyncRequestsSent=0 resyncPayloadsReceived=1 resyncApplied=1 resyncRejectedRegressing=0 resyncRejectedOldStream=0 resyncInlineRejected=0 frozen=False threadViolations=0
# owner 可靠事件（kind 1=ModeChanged, 2=Landed）
event kind=1 value=1 key=2105
event kind=1 value=0 key=2497
event kind=2 value=0 key=2498
# AP 侧收到的真实 DS 权威快照轨迹（wallMs,outputFrame,serverFrame,stream,totalMs,x,y,z,mode,grounded,velX,velY,velZ）
1789904339008,426,1067708,2,6816,-5.7298,1,0.75,Walking,True,-3.9,0,0
1789904339008,426,1067708,2,6816,-5.7298,1,0.75,Walking,True,-3.9,0,0
1789904339008,426,1067708,2,6816,-5.7298,1,0.75,Walking,True,-3.9,0,0
1789904339038,427,1069455,2,6832,-5.7922,1,0.75,Walking,True,-3.9,0,0
1789904339038,427,1069455,2,6832,-5.7922,1,0.75,Walking,True,-3.9,0,0
1789904339038,427,1069455,2,6832,-5.7922,1,0.75,Walking,True,-3.9,0,0
1789904339038,427,1069455,2,6832,-5.7922,1,0.75,Walking,True,-3.9,0,0
1789904339038,427,1069455,2,6832,-5.7922,1,0.75,Walking,True,-3.9,0,0
1789904339038,427,1069455,2,6832,-5.7922,1,0.75,Walking,True,-3.9,0,0
1789904339038,427,1069455,2,6832,-5.7922,1,0.75,Walking,True,-3.9,0,0
1789904339038,427,1069455,2,6832,-5.7922,1,0.75,Walking,True,-3.9,0,0
1789904339054,428,1072655,2,6848,-5.8546,1,0.75,Walking,True,-3.9,0,0
1789904339054,428,1072655,2,6848,-5.8546,1,0.75,Walking,True,-3.9,0,0
1789904339054,428,1072655,2,6848,-5.8546,1,0.75,Walking,True,-3.9,0,0
1789904339054,428,1072655,2,6848,-5.8546,1,0.75,Walking,True,-3.9,0,0
1789904339054,428,1072655,2,6848,-5.8546,1,0.75,Walking,True,-3.9,0,0
1789904339054,428,1072655,2,6848,-5.8546,1,0.75,Walking,True,-3.9,0,0
1789904339054,428,1072655,2,6848,-5.8546,1,0.75,Walking,True,-3.9,0,0
1789904339054,428,1072655,2,6848,-5.8546,1,0.75,Walking,True,-3.9,0,0
1789904339069,429,1074403,2,6864,-5.917,1,0.75,Walking,True,-3.9,0,0
1789904339069,429,1074403,2,6864,-5.917,1,0.75,Walking,True,-3.9,0,0
1789904339069,429,1074403,2,6864,-5.917,1,0.75,Walking,True,-3.9,0,0
1789904339069,429,1074403,2,6864,-5.917,1,0.75,Walking,True,-3.9,0,0
1789904339069,429,1074403,2,6864,-5.917,1,0.75,Walking,True,-3.9,0,0
1789904339069,429,1074403,2,6864,-5.917,1,0.75,Walking,True,-3.9,0,0
1789904339069,429,1074403,2,6864,-5.917,1,0.75,Walking,True,-3.9,0,0
1789904339069,429,1074403,2,6864,-5.917,1,0.75,Walking,True,-3.9,0,0
1789904339085,430,1076168,2,6880,-5.9794,1,0.75,Walking,True,-3.9,0,0
1789904339085,430,1076168,2,6880,-5.9794,1,0.75,Walking,True,-3.9,0,0
1789904339085,430,1076168,2,6880,-5.9794,1,0.75,Walking,True,-3.9,0,0
1789904339085,430,1076168,2,6880,-5.9794,1,0.75,Walking,True,-3.9,0,0
1789904339085,430,1076168,2,6880,-5.9794,1,0.75,Walking,True,-3.9,0,0
1789904339085,430,1076168,2,6880,-5.9794,1,0.75,Walking,True,-3.9,0,0
1789904339085,430,1076168,2,6880,-5.9794,1,0.75,Walking,True,-3.9,0,0
1789904339085,430,1076168,2,6880,-5.9794,1,0.75,Walking,True,-3.9,0,0
1789904339101,431,1078070,2,6896,-6.0418,1,0.75,Walking,True,-3.9,0,0
1789904339101,431,1078070,2,6896,-6.0418,1,0.75,Walking,True,-3.9,0,0
1789904339101,431,1078070,2,6896,-6.0418,1,0.75,Walking,True,-3.9,0,0
1789904339101,431,1078070,2,6896,-6.0418,1,0.75,Walking,True,-3.9,0,0
1789904339101,431,1078070,2,6896,-6.0418,1,0.75,Walking,True,-3.9,0,0
1789904339101,431,1078070,2,6896,-6.0418,1,0.75,Walking,True,-3.9,0,0
1789904339101,431,1078070,2,6896,-6.0418,1,0.75,Walking,True,-3.9,0,0
1789904339101,431,1078070,2,6896,-6.0418,1,0.75,Walking,True,-3.9,0,0
1789904339117,432,1080079,2,6912,-6.104199,1,0.75,Walking,True,-3.9,0,0
1789904339117,432,1080079,2,6912,-6.104199,1,0.75,Walking,True,-3.9,0,0
1789904339117,432,1080079,2,6912,-6.104199,1,0.75,Walking,True,-3.9,0,0
1789904339117,432,1080079,2,6912,-6.104199,1,0.75,Walking,True,-3.9,0,0
1789904339117,432,1080079,2,6912,-6.104199,1,0.75,Walking,True,-3.9,0,0
1789904339117,432,1080079,2,6912,-6.104199,1,0.75,Walking,True,-3.9,0,0
1789904339117,432,1080079,2,6912,-6.104199,1,0.75,Walking,True,-3.9,0,0
1789904339117,432,1080079,2,6912,-6.104199,1,0.75,Walking,True,-3.9,0,0
1789904339132,433,1081830,2,6928,-6.166599,1,0.75,Walking,True,-3.9,0,0
1789904339132,433,1081830,2,6928,-6.166599,1,0.75,Walking,True,-3.9,0,0
1789904339132,433,1081830,2,6928,-6.166599,1,0.75,Walking,True,-3.9,0,0
1789904339132,433,1081830,2,6928,-6.166599,1,0.75,Walking,True,-3.9,0,0
1789904339132,433,1081830,2,6928,-6.166599,1,0.75,Walking,True,-3.9,0,0
1789904339132,433,1081830,2,6928,-6.166599,1,0.75,Walking,True,-3.9,0,0
1789904339132,433,1081830,2,6928,-6.166599,1,0.75,Walking,True,-3.9,0,0
1789904339132,433,1081830,2,6928,-6.166599,1,0.75,Walking,True,-3.9,0,0
1789904339147,434,1083536,2,6944,-6.228999,1,0.75,Walking,True,-3.9,0,0
1789904339147,434,1083536,2,6944,-6.228999,1,0.75,Walking,True,-3.9,0,0
1789904339147,434,1083536,2,6944,-6.228999,1,0.75,Walking,True,-3.9,0,0
1789904339147,434,1083536,2,6944,-6.228999,1,0.75,Walking,True,-3.9,0,0
1789904339147,434,1083536,2,6944,-6.228999,1,0.75,Walking,True,-3.9,0,0
1789904339147,434,1083536,2,6944,-6.228999,1,0.75,Walking,True,-3.9,0,0
1789904339147,434,1083536,2,6944,-6.228999,1,0.75,Walking,True,-3.9,0,0
1789904339147,434,1083536,2,6944,-6.228999,1,0.75,Walking,True,-3.9,0,0
1789904339162,435,1085178,2,6960,-6.291399,1,0.75,Walking,True,-3.9,0,0
1789904339162,435,1085178,2,6960,-6.291399,1,0.75,Walking,True,-3.9,0,0
1789904339162,435,1085178,2,6960,-6.291399,1,0.75,Walking,True,-3.9,0,0
1789904339162,435,1085178,2,6960,-6.291399,1,0.75,Walking,True,-3.9,0,0
1789904339162,435,1085178,2,6960,-6.291399,1,0.75,Walking,True,-3.9,0,0
1789904339162,435,1085178,2,6960,-6.291399,1,0.75,Walking,True,-3.9,0,0
1789904339162,435,1085178,2,6960,-6.291399,1,0.75,Walking,True,-3.9,0,0
1789904339162,435,1085178,2,6960,-6.291399,1,0.75,Walking,True,-3.9,0,0
1789904339177,436,1086756,2,6976,-6.353799,1,0.75,Walking,True,-3.9,0,0
1789904339177,436,1086756,2,6976,-6.353799,1,0.75,Walking,True,-3.9,0,0
1789904339177,436,1086756,2,6976,-6.353799,1,0.75,Walking,True,-3.9,0,0
1789904339177,436,1086756,2,6976,-6.353799,1,0.75,Walking,True,-3.9,0,0
1789904339177,436,1086756,2,6976,-6.353799,1,0.75,Walking,True,-3.9,0,0
1789904339177,436,1086756,2,6976,-6.353799,1,0.75,Walking,True,-3.9,0,0
1789904339177,436,1086756,2,6976,-6.353799,1,0.75,Walking,True,-3.9,0,0
1789904339177,436,1086756,2,6976,-6.353799,1,0.75,Walking,True,-3.9,0,0
1789904339193,437,1088339,2,6992,-6.416199,1,0.75,Walking,True,-3.9,0,0
1789904339193,437,1088339,2,6992,-6.416199,1,0.75,Walking,True,-3.9,0,0
1789904339193,437,1088339,2,6992,-6.416199,1,0.75,Walking,True,-3.9,0,0
1789904339193,437,1088339,2,6992,-6.416199,1,0.75,Walking,True,-3.9,0,0
1789904339193,437,1088339,2,6992,-6.416199,1,0.75,Walking,True,-3.9,0,0
1789904339193,437,1088339,2,6992,-6.416199,1,0.75,Walking,True,-3.9,0,0
1789904339193,437,1088339,2,6992,-6.416199,1,0.75,Walking,True,-3.9,0,0
1789904339193,437,1088339,2,6992,-6.416199,1,0.75,Walking,True,-3.9,0,0
1789904339208,438,1089957,2,7008,-6.478599,1,0.75,Walking,True,-3.9,0,0
1789904339208,438,1089957,2,7008,-6.478599,1,0.75,Walking,True,-3.9,0,0
1789904339208,438,1089957,2,7008,-6.478599,1,0.75,Walking,True,-3.9,0,0
1789904339208,438,1089957,2,7008,-6.478599,1,0.75,Walking,True,-3.9,0,0
1789904339208,438,1089957,2,7008,-6.478599,1,0.75,Walking,True,-3.9,0,0
1789904339208,438,1089957,2,7008,-6.478599,1,0.75,Walking,True,-3.9,0,0
1789904339208,438,1089957,2,7008,-6.478599,1,0.75,Walking,True,-3.9,0,0
1789904339208,438,1089957,2,7008,-6.478599,1,0.75,Walking,True,-3.9,0,0
1789904339224,439,1091441,2,7024,-6.540998,1,0.75,Walking,True,-3.9,0,0
1789904339224,439,1091441,2,7024,-6.540998,1,0.75,Walking,True,-3.9,0,0
1789904339224,439,1091441,2,7024,-6.540998,1,0.75,Walking,True,-3.9,0,0
1789904339224,439,1091441,2,7024,-6.540998,1,0.75,Walking,True,-3.9,0,0
1789904339224,439,1091441,2,7024,-6.540998,1,0.75,Walking,True,-3.9,0,0
1789904339224,439,1091441,2,7024,-6.540998,1,0.75,Walking,True,-3.9,0,0
1789904339224,439,1091441,2,7024,-6.540998,1,0.75,Walking,True,-3.9,0,0
1789904339224,439,1091441,2,7024,-6.540998,1,0.75,Walking,True,-3.9,0,0
1789904339239,440,1092917,2,7040,-6.603398,1,0.75,Walking,True,-3.9,0,0
1789904339239,440,1092917,2,7040,-6.603398,1,0.75,Walking,True,-3.9,0,0
1789904339239,440,1092917,2,7040,-6.603398,1,0.75,Walking,True,-3.9,0,0
1789904339239,440,1092917,2,7040,-6.603398,1,0.75,Walking,True,-3.9,0,0
1789904339239,440,1092917,2,7040,-6.603398,1,0.75,Walking,True,-3.9,0,0
1789904339239,440,1092917,2,7040,-6.603398,1,0.75,Walking,True,-3.9,0,0
1789904339239,440,1092917,2,7040,-6.603398,1,0.75,Walking,True,-3.9,0,0
1789904339239,440,1092917,2,7040,-6.603398,1,0.75,Walking,True,-3.9,0,0
1789904339256,441,1094380,2,7056,-6.665798,1,0.75,Walking,True,-3.9,0,0
1789904339256,441,1094380,2,7056,-6.665798,1,0.75,Walking,True,-3.9,0,0
1789904339256,441,1094380,2,7056,-6.665798,1,0.75,Walking,True,-3.9,0,0
1789904339256,441,1094380,2,7056,-6.665798,1,0.75,Walking,True,-3.9,0,0
1789904339256,441,1094380,2,7056,-6.665798,1,0.75,Walking,True,-3.9,0,0
1789904339256,441,1094380,2,7056,-6.665798,1,0.75,Walking,True,-3.9,0,0
1789904339256,441,1094380,2,7056,-6.665798,1,0.75,Walking,True,-3.9,0,0
1789904339256,441,1094380,2,7056,-6.665798,1,0.75,Walking,True,-3.9,0,0
1789904339271,442,1095893,2,7072,-6.728198,1,0.75,Walking,True,-3.9,0,0
1789904339271,442,1095893,2,7072,-6.728198,1,0.75,Walking,True,-3.9,0,0
1789904339271,442,1095893,2,7072,-6.728198,1,0.75,Walking,True,-3.9,0,0
1789904339271,442,1095893,2,7072,-6.728198,1,0.75,Walking,True,-3.9,0,0
1789904339271,442,1095893,2,7072,-6.728198,1,0.75,Walking,True,-3.9,0,0
1789904339271,442,1095893,2,7072,-6.728198,1,0.75,Walking,True,-3.9,0,0
1789904339271,442,1095893,2,7072,-6.728198,1,0.75,Walking,True,-3.9,0,0
1789904339271,442,1095893,2,7072,-6.728198,1,0.75,Walking,True,-3.9,0,0
1789904339286,443,1097427,2,7088,-6.790598,1,0.75,Walking,True,-3.9,0,0
1789904339286,443,1097427,2,7088,-6.790598,1,0.75,Walking,True,-3.9,0,0
1789904339286,443,1097427,2,7088,-6.790598,1,0.75,Walking,True,-3.9,0,0
1789904339286,443,1097427,2,7088,-6.790598,1,0.75,Walking,True,-3.9,0,0
1789904339286,443,1097427,2,7088,-6.790598,1,0.75,Walking,True,-3.9,0,0
1789904339286,443,1097427,2,7088,-6.790598,1,0.75,Walking,True,-3.9,0,0
1789904339286,443,1097427,2,7088,-6.790598,1,0.75,Walking,True,-3.9,0,0
1789904339286,443,1097427,2,7088,-6.790598,1,0.75,Walking,True,-3.9,0,0
1789904339302,444,1098860,2,7104,-6.852998,1,0.75,Walking,True,-3.9,0,0
1789904339302,444,1098860,2,7104,-6.852998,1,0.75,Walking,True,-3.9,0,0
1789904339302,444,1098860,2,7104,-6.852998,1,0.75,Walking,True,-3.9,0,0
1789904339302,444,1098860,2,7104,-6.852998,1,0.75,Walking,True,-3.9,0,0
1789904339302,444,1098860,2,7104,-6.852998,1,0.75,Walking,True,-3.9,0,0
1789904339302,444,1098860,2,7104,-6.852998,1,0.75,Walking,True,-3.9,0,0
1789904339302,444,1098860,2,7104,-6.852998,1,0.75,Walking,True,-3.9,0,0
1789904339302,444,1098860,2,7104,-6.852998,1,0.75,Walking,True,-3.9,0,0
1789904339318,445,1100648,2,7120,-6.915398,1,0.75,Walking,True,-3.9,0,0
1789904339318,445,1100648,2,7120,-6.915398,1,0.75,Walking,True,-3.9,0,0
1789904339318,445,1100648,2,7120,-6.915398,1,0.75,Walking,True,-3.9,0,0
1789904339318,445,1100648,2,7120,-6.915398,1,0.75,Walking,True,-3.9,0,0
1789904339318,445,1100648,2,7120,-6.915398,1,0.75,Walking,True,-3.9,0,0
1789904339318,445,1100648,2,7120,-6.915398,1,0.75,Walking,True,-3.9,0,0
1789904339318,445,1100648,2,7120,-6.915398,1,0.75,Walking,True,-3.9,0,0
1789904339318,445,1100648,2,7120,-6.915398,1,0.75,Walking,True,-3.9,0,0
1789904339333,446,1102436,2,7136,-6.977798,1,0.75,Walking,True,-3.9,0,0
1789904339333,446,1102436,2,7136,-6.977798,1,0.75,Walking,True,-3.9,0,0
1789904339333,446,1102436,2,7136,-6.977798,1,0.75,Walking,True,-3.9,0,0
1789904339333,446,1102436,2,7136,-6.977798,1,0.75,Walking,True,-3.9,0,0
1789904339333,446,1102436,2,7136,-6.977798,1,0.75,Walking,True,-3.9,0,0
1789904339333,446,1102436,2,7136,-6.977798,1,0.75,Walking,True,-3.9,0,0
1789904339333,446,1102436,2,7136,-6.977798,1,0.75,Walking,True,-3.9,0,0
1789904339333,446,1102436,2,7136,-6.977798,1,0.75,Walking,True,-3.9,0,0
1789904339349,447,1104172,2,7152,-7.040197,1,0.75,Walking,True,-3.9,0,0
1789904339349,447,1104172,2,7152,-7.040197,1,0.75,Walking,True,-3.9,0,0
1789904339349,447,1104172,2,7152,-7.040197,1,0.75,Walking,True,-3.9,0,0
1789904339349,447,1104172,2,7152,-7.040197,1,0.75,Walking,True,-3.9,0,0
1789904339349,447,1104172,2,7152,-7.040197,1,0.75,Walking,True,-3.9,0,0
1789904339349,447,1104172,2,7152,-7.040197,1,0.75,Walking,True,-3.9,0,0
1789904339349,447,1104172,2,7152,-7.040197,1,0.75,Walking,True,-3.9,0,0
1789904339349,447,1104172,2,7152,-7.040197,1,0.75,Walking,True,-3.9,0,0
1789904339365,448,1105958,2,7168,-7.102597,1,0.75,Walking,True,-3.9,0,0
1789904339365,448,1105958,2,7168,-7.102597,1,0.75,Walking,True,-3.9,0,0
1789904339365,448,1105958,2,7168,-7.102597,1,0.75,Walking,True,-3.9,0,0
1789904339365,448,1105958,2,7168,-7.102597,1,0.75,Walking,True,-3.9,0,0
1789904339365,448,1105958,2,7168,-7.102597,1,0.75,Walking,True,-3.9,0,0
1789904339365,448,1105958,2,7168,-7.102597,1,0.75,Walking,True,-3.9,0,0
1789904339365,448,1105958,2,7168,-7.102597,1,0.75,Walking,True,-3.9,0,0
1789904339365,448,1105958,2,7168,-7.102597,1,0.75,Walking,True,-3.9,0,0
1789904339380,449,1107699,2,7184,-7.164997,1,0.75,Walking,True,-3.9,0,0
1789904339380,449,1107699,2,7184,-7.164997,1,0.75,Walking,True,-3.9,0,0
1789904339380,449,1107699,2,7184,-7.164997,1,0.75,Walking,True,-3.9,0,0
1789904339380,449,1107699,2,7184,-7.164997,1,0.75,Walking,True,-3.9,0,0
1789904339380,449,1107699,2,7184,-7.164997,1,0.75,Walking,True,-3.9,0,0
1789904339380,449,1107699,2,7184,-7.164997,1,0.75,Walking,True,-3.9,0,0
1789904339380,449,1107699,2,7184,-7.164997,1,0.75,Walking,True,-3.9,0,0
1789904339380,449,1107699,2,7184,-7.164997,1,0.75,Walking,True,-3.9,0,0
# 对手 SP 侧收到的真实 DS 权威快照轨迹
1789904328236,0,0,1,0,-3,1,-0.75,Walking,True,0,0,0
1789904328266,1,7469,1,16,-2.99488,1,-0.75,Walking,True,0.32,0,0
1789904328266,1,7469,1,16,-2.99488,1,-0.75,Walking,True,0.32,0,0
1789904328266,1,7469,1,16,-2.99488,1,-0.75,Walking,True,0.32,0,0
1789904328266,1,7469,1,16,-2.99488,1,-0.75,Walking,True,0.32,0,0
1789904328266,1,7469,1,16,-2.99488,1,-0.75,Walking,True,0.32,0,0
1789904328266,1,7469,1,16,-2.99488,1,-0.75,Walking,True,0.32,0,0
1789904328266,1,7469,1,16,-2.99488,1,-0.75,Walking,True,0.32,0,0
1789904328266,1,7469,1,16,-2.99488,1,-0.75,Walking,True,0.32,0,0
1789904328283,2,8671,1,32,-2.98464,1,-0.75,Walking,True,0.64,0,0
1789904328283,2,8671,1,32,-2.98464,1,-0.75,Walking,True,0.64,0,0
1789904328283,2,8671,1,32,-2.98464,1,-0.75,Walking,True,0.64,0,0
1789904328283,2,8671,1,32,-2.98464,1,-0.75,Walking,True,0.64,0,0
1789904328283,2,8671,1,32,-2.98464,1,-0.75,Walking,True,0.64,0,0
1789904328283,2,8671,1,32,-2.98464,1,-0.75,Walking,True,0.64,0,0
1789904328283,2,8671,1,32,-2.98464,1,-0.75,Walking,True,0.64,0,0
1789904328283,2,8671,1,32,-2.98464,1,-0.75,Walking,True,0.64,0,0
1789904328297,3,10268,1,48,-2.96928,1,-0.75,Walking,True,0.96,0,0
1789904328297,3,10268,1,48,-2.96928,1,-0.75,Walking,True,0.96,0,0
1789904328297,3,10268,1,48,-2.96928,1,-0.75,Walking,True,0.96,0,0
1789904328297,3,10268,1,48,-2.96928,1,-0.75,Walking,True,0.96,0,0
1789904328297,3,10268,1,48,-2.96928,1,-0.75,Walking,True,0.96,0,0
1789904328297,3,10268,1,48,-2.96928,1,-0.75,Walking,True,0.96,0,0
1789904328297,3,10268,1,48,-2.96928,1,-0.75,Walking,True,0.96,0,0
1789904328297,3,10268,1,48,-2.96928,1,-0.75,Walking,True,0.96,0,0
1789904328312,4,11532,1,64,-2.9488,1,-0.75,Walking,True,1.28,0,0
1789904328312,4,11532,1,64,-2.9488,1,-0.75,Walking,True,1.28,0,0
1789904328312,4,11532,1,64,-2.9488,1,-0.75,Walking,True,1.28,0,0
1789904328312,4,11532,1,64,-2.9488,1,-0.75,Walking,True,1.28,0,0
1789904328312,4,11532,1,64,-2.9488,1,-0.75,Walking,True,1.28,0,0
1789904328312,4,11532,1,64,-2.9488,1,-0.75,Walking,True,1.28,0,0
1789904328312,4,11532,1,64,-2.9488,1,-0.75,Walking,True,1.28,0,0
1789904328312,4,11532,1,64,-2.9488,1,-0.75,Walking,True,1.28,0,0
1789904328328,5,13056,1,80,-2.9232,1,-0.75,Walking,True,1.6,0,0
1789904328328,5,13056,1,80,-2.9232,1,-0.75,Walking,True,1.6,0,0
1789904328328,5,13056,1,80,-2.9232,1,-0.75,Walking,True,1.6,0,0
1789904328328,5,13056,1,80,-2.9232,1,-0.75,Walking,True,1.6,0,0
1789904328328,5,13056,1,80,-2.9232,1,-0.75,Walking,True,1.6,0,0
1789904328328,5,13056,1,80,-2.9232,1,-0.75,Walking,True,1.6,0,0
1789904328328,5,13056,1,80,-2.9232,1,-0.75,Walking,True,1.6,0,0
1789904328328,5,13056,1,80,-2.9232,1,-0.75,Walking,True,1.6,0,0
1789904328344,6,14399,1,96,-2.89248,1,-0.75,Walking,True,1.92,0,0
1789904328344,6,14399,1,96,-2.89248,1,-0.75,Walking,True,1.92,0,0
1789904328344,6,14399,1,96,-2.89248,1,-0.75,Walking,True,1.92,0,0
1789904328344,6,14399,1,96,-2.89248,1,-0.75,Walking,True,1.92,0,0
1789904328344,6,14399,1,96,-2.89248,1,-0.75,Walking,True,1.92,0,0
1789904328344,6,14399,1,96,-2.89248,1,-0.75,Walking,True,1.92,0,0
1789904328344,6,14399,1,96,-2.89248,1,-0.75,Walking,True,1.92,0,0
1789904328344,6,14399,1,96,-2.89248,1,-0.75,Walking,True,1.92,0,0
1789904328359,7,15926,1,112,-2.85664,1,-0.75,Walking,True,2.24,0,0
1789904328359,7,15926,1,112,-2.85664,1,-0.75,Walking,True,2.24,0,0
1789904328359,7,15926,1,112,-2.85664,1,-0.75,Walking,True,2.24,0,0
1789904328359,7,15926,1,112,-2.85664,1,-0.75,Walking,True,2.24,0,0
1789904328359,7,15926,1,112,-2.85664,1,-0.75,Walking,True,2.24,0,0
1789904328360,7,15926,1,112,-2.85664,1,-0.75,Walking,True,2.24,0,0
1789904328360,7,15926,1,112,-2.85664,1,-0.75,Walking,True,2.24,0,0
1789904328360,7,15926,1,112,-2.85664,1,-0.75,Walking,True,2.24,0,0
1789904328374,8,17415,1,128,-2.81568,1,-0.75,Walking,True,2.56,0,0
1789904328374,8,17415,1,128,-2.81568,1,-0.75,Walking,True,2.56,0,0
1789904328374,8,17415,1,128,-2.81568,1,-0.75,Walking,True,2.56,0,0
1789904328374,8,17415,1,128,-2.81568,1,-0.75,Walking,True,2.56,0,0
1789904328374,8,17415,1,128,-2.81568,1,-0.75,Walking,True,2.56,0,0
1789904328374,8,17415,1,128,-2.81568,1,-0.75,Walking,True,2.56,0,0
1789904328374,8,17415,1,128,-2.81568,1,-0.75,Walking,True,2.56,0,0
1789904328374,8,17415,1,128,-2.81568,1,-0.75,Walking,True,2.56,0,0
1789904328389,9,18749,1,144,-2.7696,1,-0.75,Walking,True,2.88,0,0
1789904328389,9,18749,1,144,-2.7696,1,-0.75,Walking,True,2.88,0,0
1789904328389,9,18749,1,144,-2.7696,1,-0.75,Walking,True,2.88,0,0
1789904328389,9,18749,1,144,-2.7696,1,-0.75,Walking,True,2.88,0,0
1789904328389,9,18749,1,144,-2.7696,1,-0.75,Walking,True,2.88,0,0
1789904328389,9,18749,1,144,-2.7696,1,-0.75,Walking,True,2.88,0,0
1789904328389,9,18749,1,144,-2.7696,1,-0.75,Walking,True,2.88,0,0
1789904328389,9,18749,1,144,-2.7696,1,-0.75,Walking,True,2.88,0,0
1789904328404,10,20084,1,160,-2.7184,1,-0.75,Walking,True,3.2,0,0
1789904328404,10,20084,1,160,-2.7184,1,-0.75,Walking,True,3.2,0,0
1789904328404,10,20084,1,160,-2.7184,1,-0.75,Walking,True,3.2,0,0
1789904328404,10,20084,1,160,-2.7184,1,-0.75,Walking,True,3.2,0,0
1789904328404,10,20084,1,160,-2.7184,1,-0.75,Walking,True,3.2,0,0
1789904328404,10,20084,1,160,-2.7184,1,-0.75,Walking,True,3.2,0,0
1789904328404,10,20084,1,160,-2.7184,1,-0.75,Walking,True,3.2,0,0
1789904328404,10,20084,1,160,-2.7184,1,-0.75,Walking,True,3.2,0,0
1789904328419,11,21470,1,176,-2.66208,1,-0.75,Walking,True,3.52,0,0
1789904328419,11,21470,1,176,-2.66208,1,-0.75,Walking,True,3.52,0,0
1789904328419,11,21470,1,176,-2.66208,1,-0.75,Walking,True,3.52,0,0
1789904328419,11,21470,1,176,-2.66208,1,-0.75,Walking,True,3.52,0,0
1789904328419,11,21470,1,176,-2.66208,1,-0.75,Walking,True,3.52,0,0
1789904328419,11,21470,1,176,-2.66208,1,-0.75,Walking,True,3.52,0,0
1789904328419,11,21470,1,176,-2.66208,1,-0.75,Walking,True,3.52,0,0
1789904328419,11,21470,1,176,-2.66208,1,-0.75,Walking,True,3.52,0,0
1789904328435,12,22797,1,192,-2.60064,1,-0.75,Walking,True,3.84,0,0
1789904328435,12,22797,1,192,-2.60064,1,-0.75,Walking,True,3.84,0,0
1789904328435,12,22797,1,192,-2.60064,1,-0.75,Walking,True,3.84,0,0
1789904328435,12,22797,1,192,-2.60064,1,-0.75,Walking,True,3.84,0,0
1789904328435,12,22797,1,192,-2.60064,1,-0.75,Walking,True,3.84,0,0
1789904328435,12,22797,1,192,-2.60064,1,-0.75,Walking,True,3.84,0,0
1789904328435,12,22797,1,192,-2.60064,1,-0.75,Walking,True,3.84,0,0
1789904328435,12,22797,1,192,-2.60064,1,-0.75,Walking,True,3.84,0,0
1789904328451,13,24280,1,208,-2.53824,1,-0.75,Walking,True,3.9,0,0
1789904328451,13,24280,1,208,-2.53824,1,-0.75,Walking,True,3.9,0,0
1789904328451,13,24280,1,208,-2.53824,1,-0.75,Walking,True,3.9,0,0
1789904328451,13,24280,1,208,-2.53824,1,-0.75,Walking,True,3.9,0,0
1789904328451,13,24280,1,208,-2.53824,1,-0.75,Walking,True,3.9,0,0
1789904328451,13,24280,1,208,-2.53824,1,-0.75,Walking,True,3.9,0,0
1789904328451,13,24280,1,208,-2.53824,1,-0.75,Walking,True,3.9,0,0
1789904328451,13,24280,1,208,-2.53824,1,-0.75,Walking,True,3.9,0,0
1789904328467,14,25700,1,224,-2.47584,1,-0.75,Walking,True,3.9,0,0
1789904328467,14,25700,1,224,-2.47584,1,-0.75,Walking,True,3.9,0,0
1789904328467,14,25700,1,224,-2.47584,1,-0.75,Walking,True,3.9,0,0
1789904328467,14,25700,1,224,-2.47584,1,-0.75,Walking,True,3.9,0,0
1789904328467,14,25700,1,224,-2.47584,1,-0.75,Walking,True,3.9,0,0
1789904328467,14,25700,1,224,-2.47584,1,-0.75,Walking,True,3.9,0,0
1789904328467,14,25700,1,224,-2.47584,1,-0.75,Walking,True,3.9,0,0
1789904328467,14,25700,1,224,-2.47584,1,-0.75,Walking,True,3.9,0,0
